Date,Role,Count,Burst,VolPeak,FT2_Avg
2025-12-02,TP,11,4,7.259732143256583,0.6409913482329886
2025-11-07,FP,10,4,8.168978187283471,1.0684084907856397
2025-11-25,FP,3,1,2.778707915394323,-0.04003587501454624
2025-12-05,FP,0,0,6.435577640393998,0.0
