Mode,Net_Adays,HitRatio_24h,HitRatio_48h,AvgMax_24h,AvgMax_48h,AvgDD_24h,AvgDD_48h,Late_Winners
Mode A (Strict),2,50.0,50.0,5.505884961297102,5.578824421545091,-4.413801302628073,-4.413801302628073,0
Mode B (Relaxed),2,50.0,50.0,5.505884961297102,5.578824421545091,-4.413801302628073,-4.413801302628073,0
