,time,gain,t0_vol_ratio,symbol
845,2025-12-24 21:00:00+00:00,259.1078066914498,22.49748884287005,BIFIUSDT
586,2025-04-19 15:30:00+00:00,254.25904317386227,6.904996042955025,MAGICUSDT
585,2025-04-19 15:15:00+00:00,253.84615384615384,11.515267693124928,MAGICUSDT
2669,2025-11-03 06:45:00+00:00,250.7014028056112,5.061584178429196,DCRUSDT
1890,2025-10-10 21:15:00+00:00,246.96177062374244,14.484580463300688,SIGNUSDT
2667,2025-11-02 07:15:00+00:00,246.19188921859546,17.838358531131952,DCRUSDT
1350,2025-10-10 21:15:00+00:00,243.98496240601503,18.683080569809377,CVXUSDT
2671,2025-11-03 07:15:00+00:00,238.65505563618768,12.411472152446068,DCRUSDT
2402,2025-04-15 00:00:00+00:00,238.34505137912387,5.1189475452722855,ARDRUSDT
1334,2025-12-31 19:15:00+00:00,235.28918692372173,36.086050596550145,BROCCOLI714USDT
587,2025-04-19 15:45:00+00:00,233.26015367727769,17.991796603168865,MAGICUSDT
2670,2025-11-03 07:00:00+00:00,230.50047214353162,16.558085278253742,DCRUSDT
2248,2025-11-04 10:45:00+00:00,230.09085402786192,11.198822423336784,GIGGLEUSDT
2780,2025-10-10 21:15:00+00:00,229.76827094474152,43.45501642168785,IOTXUSDT
991,2025-04-18 14:30:00+00:00,227.86885245901635,18.238926723919096,NKNUSDT
992,2025-04-18 14:45:00+00:00,226.08695652173913,6.685518711944922,NKNUSDT
2535,2026-01-23 05:15:00+00:00,224.0740740740741,6.5890245305659265,ENSOUSDT
2050,2025-03-21 01:45:00+00:00,222.35746316463806,6.433137755580836,ORCAUSDT
715,2025-12-31 16:30:00+00:00,220.47477744807122,7.843015046921838,A2ZUSDT
2049,2025-03-21 00:15:00+00:00,220.10178117048346,5.419448307015676,ORCAUSDT
2048,2025-03-21 00:00:00+00:00,219.8982835346472,6.138045458875838,ORCAUSDT
2251,2025-11-04 11:30:00+00:00,217.62443175195241,6.909381613784943,GIGGLEUSDT
846,2025-12-24 21:15:00+00:00,217.13722915298752,7.607337417242983,BIFIUSDT
1510,2025-10-10 21:15:00+00:00,215.74803149606302,17.082433305338636,AVAUSDT
716,2025-12-31 19:15:00+00:00,215.55880204528853,7.139441403311832,A2ZUSDT
994,2025-04-18 15:15:00+00:00,214.13612565445027,18.94331240226196,NKNUSDT
714,2025-12-31 12:00:00+00:00,213.953488372093,9.145387094398162,A2ZUSDT
712,2025-12-30 20:15:00+00:00,213.72549019607843,5.675835726093241,A2ZUSDT
2394,2025-10-10 21:30:00+00:00,213.16725978647685,5.128118191175864,RDNTUSDT
718,2025-12-31 19:45:00+00:00,212.36442516268986,8.229965079103174,A2ZUSDT
713,2025-12-31 11:45:00+00:00,211.23919308357353,5.049863009846881,A2ZUSDT
1699,2025-08-08 00:15:00+00:00,210.55900621118013,11.116616136725714,GMXUSDT
1701,2025-08-08 01:15:00+00:00,210.3448275862069,14.948274572149398,GMXUSDT
717,2025-12-31 19:30:00+00:00,210.12203876525487,9.910002508590754,A2ZUSDT
719,2025-12-31 20:15:00+00:00,209.89956958393114,6.236916915628069,A2ZUSDT
3065,2025-10-10 21:15:00+00:00,209.54063604240284,24.595603846227956,DEGOUSDT
2406,2025-04-15 05:00:00+00:00,208.8874259381172,5.651713152897595,ARDRUSDT
1322,2025-10-10 21:15:00+00:00,208.17547357926222,8.360958040784345,BROCCOLI714USDT
1700,2025-08-08 01:00:00+00:00,208.0082135523614,13.309973333108136,GMXUSDT
720,2025-12-31 21:15:00+00:00,207.91161796151107,7.79239827629276,A2ZUSDT
1567,2025-11-06 15:45:00+00:00,206.58436213991772,5.314561012791994,PYRUSDT
2536,2026-01-23 05:45:00+00:00,206.25,6.683345194674603,ENSOUSDT
721,2026-01-01 08:00:00+00:00,205.94900849858357,5.169979510236392,A2ZUSDT
766,2025-10-10 21:15:00+00:00,204.95049504950495,15.231658946433026,PORTALUSDT
2598,2025-08-26 13:30:00+00:00,203.19803198031977,7.355922076811674,NMRUSDT
589,2025-04-19 16:15:00+00:00,202.691924227318,8.740034549599534,MAGICUSDT
722,2026-01-01 10:30:00+00:00,202.52100840336135,8.554325013510253,A2ZUSDT
1702,2025-08-09 08:45:00+00:00,202.01342281879192,8.627345625160107,GMXUSDT
588,2025-04-19 16:00:00+00:00,199.4082840236686,22.220973234216423,MAGICUSDT
338,2025-10-10 21:15:00+00:00,198.73786407766988,8.557010631936459,MUBARAKUSDT
1642,2025-07-21 23:15:00+00:00,198.37848205854579,6.510617899038902,SPKUSDT
2036,2025-10-10 21:15:00+00:00,196.38242894056845,13.359450514782857,GUNUSDT
2841,2025-08-10 07:30:00+00:00,196.11111111111111,6.308862654932967,CYBERUSDT
723,2026-01-01 10:45:00+00:00,195.89041095890414,32.73112145335843,A2ZUSDT
1907,2025-10-10 21:15:00+00:00,195.85798816568044,15.028749851921251,MINAUSDT
116,2025-11-05 09:15:00+00:00,195.42097488921715,5.031865218351009,ALCXUSDT
3064,2025-10-10 21:00:00+00:00,193.95973154362417,44.563099937154696,DEGOUSDT
1543,2025-10-10 21:15:00+00:00,193.82716049382714,39.10935004873296,HEIUSDT
2250,2025-11-04 11:15:00+00:00,193.6631102489492,7.7619728700864945,GIGGLEUSDT
1290,2025-10-18 05:45:00+00:00,193.18600368324127,10.140399943970019,MLNUSDT
679,2025-11-07 11:15:00+00:00,192.70633397312858,6.370964563382873,FLUXUSDT
2701,2025-03-28 23:15:00+00:00,192.14375261178435,18.900691793328217,FUNUSDT
3037,2025-11-19 05:00:00+00:00,191.64490861618793,5.128433347561773,DYMUSDT
1289,2025-10-18 05:30:00+00:00,191.57509157509156,12.511159721159835,MLNUSDT
113,2025-11-04 06:00:00+00:00,191.54518950437316,5.180840126924172,ALCXUSDT
2699,2025-03-28 21:00:00+00:00,191.534612176814,8.513329916624286,FUNUSDT
2505,2025-09-25 20:00:00+00:00,191.2593984962406,14.560307149134745,ALPINEUSDT
1641,2025-07-21 23:00:00+00:00,190.08377083512636,14.047794310466214,SPKUSDT
993,2025-04-18 15:00:00+00:00,189.85507246376812,22.724063407116095,NKNUSDT
115,2025-11-05 09:00:00+00:00,189.85507246376812,11.137450734625807,ALCXUSDT
3036,2025-11-18 14:30:00+00:00,189.75356679636835,14.007462515090655,DYMUSDT
431,2025-09-03 14:00:00+00:00,189.60817717206135,6.7904377747072076,REDUSDT
2538,2026-01-24 00:15:00+00:00,189.59810874704493,5.70720173177259,ENSOUSDT
2504,2025-09-25 05:45:00+00:00,189.58837772397098,5.209383178253827,ALPINEUSDT
3040,2025-11-19 14:15:00+00:00,189.57528957528956,6.04772796559649,DYMUSDT
2506,2025-09-25 20:15:00+00:00,189.4908921064923,6.559331297411661,ALPINEUSDT
1600,2025-10-10 21:15:00+00:00,188.92128279883386,10.91091439056517,SAGAUSDT
383,2025-03-09 10:00:00+00:00,188.8446215139442,7.984088930838353,RAREUSDT
382,2025-03-09 09:30:00+00:00,188.8446215139442,11.249103604131784,RAREUSDT
725,2026-01-01 11:15:00+00:00,188.77005347593584,6.1264806872110285,A2ZUSDT
112,2025-11-04 05:45:00+00:00,188.60028860028862,5.803634275717959,ALCXUSDT
