Date,DailyGate,Cancel,FinalDecision,Reason,TriggerCount,TriggerBurst,Hit_10
2025-10-29T00:00:00+00:00,False,False,NO,Wick_Ratio_OUT,0,0,NO
2025-10-30T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2025-10-31T00:00:00+00:00,False,False,NO,Energy_Gap_OUT,0,0,NO
2025-11-01T00:00:00+00:00,False,False,NO,Wick_Ratio_OUT,0,0,NO
2025-11-02T00:00:00+00:00,False,False,NO,Energy_Gap_OUT,0,0,NO
2025-11-03T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2025-11-04T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2025-11-05T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2025-11-06T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,YES
2025-11-07T00:00:00+00:00,True,False,NO,"TRIG_FAIL (Count=6, Burst=2)",6,2,NO
2025-11-08T00:00:00+00:00,False,False,NO,Wick_Ratio_OUT,0,0,NO
2025-11-09T00:00:00+00:00,False,False,NO,SUPPRESSION_VETO,0,0,NO
2025-11-10T00:00:00+00:00,True,True,NO,WICK_4H (0.38),0,0,NO
2025-11-11T00:00:00+00:00,False,False,NO,Energy_Gap_OUT,0,0,NO
2025-11-12T00:00:00+00:00,False,False,NO,Wick_Ratio_OUT,0,0,NO
2025-11-13T00:00:00+00:00,True,True,NO,WICK_4H (0.34),0,0,NO
2025-11-14T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2025-11-15T00:00:00+00:00,True,False,NO,"TRIG_FAIL (Count=7, Burst=4)",7,4,NO
2025-11-16T00:00:00+00:00,True,False,NO,"TRIG_FAIL (Count=5, Burst=3)",5,3,NO
2025-11-17T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2025-11-18T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2025-11-19T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2025-11-20T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2025-11-21T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2025-11-22T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2025-11-23T00:00:00+00:00,False,False,NO,Wick_Ratio_HIGH_VETO,0,0,NO
2025-11-24T00:00:00+00:00,True,True,NO,WICK_4H (0.30),0,0,NO
2025-11-25T00:00:00+00:00,True,False,NO,"TRIG_FAIL (Count=2, Burst=1)",2,1,NO
2025-11-26T00:00:00+00:00,False,False,NO,Wick_Ratio_OUT,0,0,NO
2025-11-27T00:00:00+00:00,False,False,NO,Wick_Ratio_OUT,0,0,NO
2025-11-28T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2025-11-29T00:00:00+00:00,True,True,NO,RIBBON_TRAP,0,0,NO
2025-11-30T00:00:00+00:00,True,True,NO,WICK_4H (0.29),0,0,NO
2025-12-01T00:00:00+00:00,False,False,NO,Dist_EMA_OUT,0,0,NO
2025-12-02T00:00:00+00:00,True,False,NO,"TRIG_FAIL (Count=8, Burst=3)",8,3,YES
2025-12-03T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2025-12-04T00:00:00+00:00,False,False,NO,ATR_Norm_OUT,0,0,NO
2025-12-05T00:00:00+00:00,True,False,NET_ADAY,V3_MATCH_CONFIRMED,12,3,NO
2025-12-06T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-07T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-08T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-09T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-10T00:00:00+00:00,False,False,NO,SUPPRESSION_VETO,0,0,NO
2025-12-11T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-12T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-13T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
2025-12-14T00:00:00+00:00,False,False,NO,ADX_OUT,0,0,NO
