Date,Role,CountBars_15M,TriggerCount,VolPeak_15M,RSIPeak_15M
2025-12-02,TP,96,10,11.842662724422754,85.71428571428568
2025-11-07,FP,96,9,9.838695381645346,100.0
2025-11-25,FP,96,4,18.180925539237744,77.77777777777777
2025-12-05,FP,96,3,4.995906776939312,100.0
