symbol,date,tier,category,score,max_gain
1000SHIBUSDT,2025-03-29,B,NINJA,29,3.6855812485202533
1000SHIBUSDT,2025-04-01,B,NINJA,62,3.108726526747674
1000SHIBUSDT,2025-04-04,B,NINJA,45,3.048532639622792
1000SHIBUSDT,2025-04-05,B,NINJA,64,2.8228423101881894
1000SHIBUSDT,2025-04-06,B,NINJA,54,11.998586322671855
1000SHIBUSDT,2025-04-08,B,NINJA,44,19.068194627089994
1000SHIBUSDT,2025-04-17,B,NINJA,50,29.150759311105446
1000SHIBUSDT,2025-04-29,B,NINJA,49,16.656716417910445
1000SHIBUSDT,2025-05-01,B,NINJA,48,28.14353499406881
1000SHIBUSDT,2025-05-02,B,NINJA,55,31.025774344499734
1000SHIBUSDT,2025-05-07,B,NINJA,67,37.812499999999986
1000SHIBUSDT,2025-05-14,B,NINJA,49,2.2893481717011
1000SHIBUSDT,2025-05-16,B,NINJA,29,10.489078170078292
1000SHIBUSDT,2025-05-20,B,NINJA,65,10.17123287671231
1000SHIBUSDT,2025-05-23,B,NINJA,66,3.190149713166357
1000SHIBUSDT,2025-05-25,B,NINJA,46,1.9491291125241839
1000SHIBUSDT,2025-05-26,B,NINJA,55,2.0420921025213534
1000SHIBUSDT,2025-05-29,B,NINJA,61,0.5692462890906524
1000SHIBUSDT,2025-06-03,B,NINJA,73,4.434215573456091
1000SHIBUSDT,2025-06-07,B,NINJA,59,7.037270011008023
1000SHIBUSDT,2025-06-11,B,NINJA,67,0.4791714970244998
1000SHIBUSDT,2025-06-14,B,NINJA,41,2.3601761821657075
1000SHIBUSDT,2025-06-15,B,NINJA,56,2.385702410640067
1000SHIBUSDT,2025-06-16,B,NINJA,56,1.8049932523616752
1000SHIBUSDT,2025-06-18,B,NINJA,52,1.9614561027837318
1000SHIBUSDT,2025-06-19,B,NINJA,57,3.533782616208758
1000SHIBUSDT,2025-06-20,B,NINJA,44,6.05363306487301
1000SHIBUSDT,2025-06-28,B,NINJA,59,5.143747835122969
1000SHIBUSDT,2025-06-30,B,NINJA,73,17.663543217444612
1000SHIBUSDT,2025-07-07,B,NINJA,76,27.8236914600551
1000SHIBUSDT,2025-07-10,B,TREND,94,20.550101176646905
1000SHIBUSDT,2025-07-14,B,NINJA,61,21.36874669886064
1000SHIBUSDT,2025-07-18,B,NINJA,81,8.970688479890931
1000SHIBUSDT,2025-07-23,B,NINJA,34,3.7759006569922704
1000SHIBUSDT,2025-07-26,B,NINJA,54,2.9287504475474346
1000SHIBUSDT,2025-07-31,B,NINJA,38,13.066902541009974
1000SHIBUSDT,2025-08-04,B,NINJA,62,13.516105826872348
1000SHIBUSDT,2025-08-14,B,NINJA,77,4.985633299681602
1000SHIBUSDT,2025-08-16,B,NINJA,59,4.176620174154255
1000SHIBUSDT,2025-08-17,B,NINJA,68,3.888419273034649
1000SHIBUSDT,2025-08-21,B,NINJA,60,9.28860145513337
1000SHIBUSDT,2025-08-27,B,NINJA,65,1.897821909032671
1000SHIBUSDT,2025-08-28,B,NINJA,73,0.4420238377141006
1000SHIBUSDT,2025-08-30,B,NINJA,65,7.087252675964972
1000SHIBUSDT,2025-08-31,B,NINJA,61,8.485993592376584
1000SHIBUSDT,2025-09-06,B,NINJA,66,20.987855570951176
1000SHIBUSDT,2025-09-17,B,NINJA,49,0.8374712814051666
1000SHIBUSDT,2025-09-18,B,NINJA,68,1.1942972307233068
1000SHIBUSDT,2025-09-21,B,NINJA,41,0.3220738413197033
1000SHIBUSDT,2025-09-27,B,NINJA,53,10.33985931011101
1000SHIBUSDT,2025-10-02,B,TREND,89,3.0228693519031236
1000SHIBUSDT,2025-10-05,B,NINJA,70,4.570281124497999
1000SHIBUSDT,2025-10-07,B,NINJA,65,2.247006724618661
1000SHIBUSDT,2025-10-09,B,NINJA,52,1.0739260739260903
1000SHIBUSDT,2025-10-10,B,NINJA,53,16.090534979423875
1000SHIBUSDT,2025-10-18,B,NINJA,48,7.86766189227357
1000SHIBUSDT,2025-10-19,B,NINJA,64,6.196623634558085
1000SHIBUSDT,2025-10-30,B,NINJA,56,6.430041152263377
1000SHIBUSDT,2025-11-06,B,NINJA,49,14.702295154673472
1000SHIBUSDT,2025-11-11,B,NINJA,71,3.696397051188849
1000SHIBUSDT,2025-11-15,B,NINJA,43,2.035173100320753
1000SHIBUSDT,2025-11-16,B,NINJA,44,3.2385021927358704
1000SHIBUSDT,2025-11-17,B,NINJA,37,5.011070970749332
1000SHIBUSDT,2025-11-19,B,NINJA,49,6.635514018691602
1000SHIBUSDT,2025-11-23,B,NINJA,53,20.888492871690435
1000SHIBUSDT,2025-11-30,B,NINJA,30,13.546150167384031
1000SHIBUSDT,2025-12-07,B,NINJA,58,8.560451434746064
1000SHIBUSDT,2025-12-08,B,NINJA,60,5.519897304236188
1000SHIBUSDT,2025-12-12,B,NINJA,51,2.0916455084028396
1000SHIBUSDT,2025-12-13,B,NINJA,56,0.4792140888942198
1000SHIBUSDT,2025-12-14,B,NINJA,59,2.4792363951902985
1000SHIBUSDT,2025-12-20,B,NINJA,51,1.8850141376060447
1000SHIBUSDT,2025-12-25,B,NINJA,51,33.03128982018973
1000XECUSDT,2025-01-07,B,NINJA,70,14.077253218884112
1000XECUSDT,2025-01-09,B,NINJA,65,10.535070695869164
1000XECUSDT,2025-01-11,B,NINJA,72,6.428957320367368
1000XECUSDT,2025-01-14,B,NINJA,57,10.30235162374018
1000XECUSDT,2025-01-22,B,NINJA,52,2.455089820359291
1000XECUSDT,2025-01-24,B,NINJA,36,4.584352078239617
1000XECUSDT,2025-01-26,B,NINJA,48,3.87931034482758
1000XECUSDT,2025-01-28,B,NINJA,35,10.405759162303664
1000XECUSDT,2025-01-30,B,NINJA,62,5.174563591022441
1000XECUSDT,2025-02-09,B,NINJA,70,10.279286268425135
1000XECUSDT,2025-02-11,B,NINJA,66,9.430331023864525
1000XECUSDT,2025-02-15,B,NINJA,60,8.263518659558278
1000XECUSDT,2025-02-19,B,NINJA,51,5.3896859247770434
1000XECUSDT,2025-02-20,B,NINJA,74,3.38531761125902
1000XECUSDT,2025-02-21,B,NINJA,67,6.9960474308300435
1000XECUSDT,2025-02-23,B,NINJA,74,0.4961832061068705
1000XECUSDT,2025-02-27,B,NINJA,52,6.194314806958001
1000XECUSDT,2025-03-01,B,NINJA,56,9.015679442508695
1000XECUSDT,2025-03-03,B,NINJA,53,13.950276243093928
1000XECUSDT,2025-03-09,B,NINJA,28,12.624254473161045
1000XECUSDT,2025-03-13,B,NINJA,63,10.29626032054396
1000XECUSDT,2025-03-22,B,NINJA,52,7.678160919540233
1000XECUSDT,2025-03-23,B,NINJA,59,7.727690892364314
1000XECUSDT,2025-03-26,B,NINJA,82,1.5064244572441376
1000XECUSDT,2025-04-04,B,NINJA,52,5.804480651731159
1000XECUSDT,2025-04-05,B,NINJA,56,7.724209434940366
1000XECUSDT,2025-04-08,B,NINJA,46,23.54340071343637
1000XECUSDT,2025-04-15,B,NINJA,50,32.17213114754098
1000XECUSDT,2025-04-29,B,NINJA,47,10.318181818181827
1000XECUSDT,2025-05-01,B,NINJA,42,16.779737675260044
1000XECUSDT,2025-05-06,B,NINJA,52,22.923588039867116
1000XECUSDT,2025-05-07,B,NINJA,49,21.99717381064532
1000XECUSDT,2025-05-14,B,NINJA,55,2.12244897959184
1000XECUSDT,2025-05-16,B,NINJA,37,5.202063628546849
1000XECUSDT,2025-05-20,B,NINJA,63,7.277509864094678
1000XECUSDT,2025-05-26,B,NINJA,53,1.5858631626642472
1000XECUSDT,2025-05-28,B,NINJA,65,1.91256830601092
1000XECUSDT,2025-05-29,B,NINJA,60,4.189944134078227
1000XECUSDT,2025-06-07,B,NINJA,68,7.537453183520593
1000XECUSDT,2025-06-14,B,NINJA,53,0.9209888511876096
1000XECUSDT,2025-06-15,B,NINJA,59,0.39312039312038305
1000XECUSDT,2025-06-20,B,NINJA,50,4.6908315565032055
1000XECUSDT,2025-06-28,B,NINJA,40,3.520000000000012
1000XECUSDT,2025-06-30,B,NINJA,61,12.134344528710717
1000XECUSDT,2025-07-06,B,NINJA,58,22.29402261712441
1000XECUSDT,2025-07-07,B,NINJA,71,24.098360655737714
1000XECUSDT,2025-07-10,B,TREND,90,23.860852523272904
1000XECUSDT,2025-07-23,B,NINJA,43,5.447298494242703
1000XECUSDT,2025-07-26,B,NINJA,59,5.634427684117127
1000XECUSDT,2025-07-28,B,NINJA,60,2.6208766380479087
1000XECUSDT,2025-07-31,B,NINJA,41,8.605769230769234
1000XECUSDT,2025-08-04,B,NINJA,62,9.165067178502873
1000XECUSDT,2025-08-05,B,NINJA,63,12.735381565906835
1000XECUSDT,2025-08-11,B,NINJA,74,7.210179076343071
1000XECUSDT,2025-08-14,B,NINJA,76,4.284323271665058
1000XECUSDT,2025-08-16,B,NINJA,66,2.473834443387246
1000XECUSDT,2025-08-17,B,NINJA,68,3.358925143953928
1000XECUSDT,2025-08-21,B,NINJA,47,9.284627092846275
1000XECUSDT,2025-08-25,B,NINJA,57,5.507832238504307
1000XECUSDT,2025-08-27,B,NINJA,61,2.8064992614475592
1000XECUSDT,2025-08-29,B,NINJA,61,2.205513784461144
1000XECUSDT,2025-08-30,B,NINJA,64,1.1910669975185861
1000XECUSDT,2025-08-31,B,NINJA,61,3.1850353892821204
1000XECUSDT,2025-09-02,B,NINJA,58,4.623983739837412
1000XECUSDT,2025-09-03,B,NINJA,67,7.09183673469389
1000XECUSDT,2025-09-05,B,NINJA,60,8.820512820512816
